age,sex,native.country,income
90,Female,United-States,<=50K
82,Female,United-States,<=50K
66,Female,United-States,<=50K
54,Female,United-States,<=50K
41,Female,United-States,<=50K
34,Female,United-States,<=50K
38,Male,United-States,<=50K
74,Female,United-States,>50K
68,Female,United-States,<=50K
41,Male,United-Kingdom,>50K
45,Female,United-States,>50K
38,Male,United-States,>50K
52,Female,United-States,>50K
32,Male,United-States,>50K
51,Male,United-States,>50K
46,Male,United-States,>50K
45,Male,United-States,>50K
57,Male,United-States,>50K
22,Male,United-Kingdom,>50K
34,Male,United-States,>50K
37,Male,United-States,>50K
29,Female,United-States,<=50K
61,Female,United-States,<=50K
51,Male,United-States,<=50K
61,Male,United-States,<=50K
21,Male,United-States,<=50K
33,Male,Mexico,<=50K
49,Male,Greece,<=50K
37,Male,United-States,>50K
38,Male,United-States,>50K
23,Male,United-States,>50K
59,Female,United-States,>50K
52,Male,United-States,>50K
51,Male,United-States,>50K
60,Male,United-States,>50K
63,Female,United-States,>50K
53,Male,United-States,>50K
51,Female,United-States,>50K
37,Female,United-States,>50K
54,Female,United-States,>50K
44,Male,United-States,>50K
43,Female,United-States,>50K
51,Female,United-States,>50K
43,Female,United-States,>50K
71,Male,United-States,<=50K
48,Female,United-States,>50K
71,Male,United-States,<=50K
73,Male,Vietnam,<=50K
68,Female,United-States,<=50K
67,Male,United-States,<=50K
40,Male,United-States,>50K
50,Female,United-States,>50K
51,Male,United-States,>50K
42,Female,United-States,>50K
39,Male,United-States,>50K
32,Male,United-States,>50K
53,Male,United-States,>50K
40,Male,United-States,>50K
38,Female,United-States,>50K
33,Male,United-States,>50K
43,Male,United-States,>50K
50,Male,United-States,>50K
44,Female,United-States,>50K
51,Male,China,>50K
41,Male,United-States,>50K
60,Male,United-Kingdom,>50K
37,Male,United-States,>50K
55,Male,Greece,>50K
39,Male,United-States,>50K
42,Male,United-States,>50K
49,Male,United-States,>50K
47,Male,United-States,>50K
41,Male,United-States,>50K
55,Male,United-States,>50K
39,Female,United-States,>50K
42,Male,United-States,>50K
41,Male,United-States,>50K
46,Male,United-States,>50K
40,Male,United-States,>50K
32,Male,United-States,>50K
41,Male,United-States,>50K
60,Male,United-States,>50K
31,Male,Taiwan,>50K
58,Male,United-States,>50K
37,Male,United-States,>50K
44,Male,United-States,>50K
39,Male,United-Kingdom,>50K
43,Male,United-Kingdom,>50K
55,Male,United-States,>50K
44,Male,United-States,>50K
39,Male,India,>50K
46,Male,United-States,>50K
39,Male,United-States,>50K
62,Male,United-States,>50K
31,Female,United-States,>50K
46,Male,Philippines,>50K
46,Male,United-States,>50K
39,Male,United-States,>50K
39,Male,United-States,>50K
59,Male,United-States,>50K
50,Male,United-States,>50K
46,Male,United-States,>50K
53,Male,United-States,>50K
50,Male,United-States,>50K
41,Female,United-States,>50K
36,Male,United-States,>50K
38,Male,United-States,>50K
54,Male,United-States,>50K
50,Female,United-States,>50K
47,Male,United-States,>50K
47,Male,United-States,>50K
67,Male,United-States,>50K
67,Male,United-States,>50K
72,Male,United-States,>50K
72,Male,United-States,>50K
46,Male,United-States,>50K
78,Male,United-States,>50K
71,Male,United-States,>50K
83,Male,United-States,>50K
68,Male,United-States,>50K
26,Male,United-States,<=50K
68,Male,United-States,>50K
49,Female,United-States,>50K
36,Male,United-States,<=50K
70,Male,United-States,>50K
27,Female,United-States,<=50K
35,Male,United-States,<=50K
23,Male,United-States,<=50K
81,Male,United-States,>50K
66,Male,United-States,>50K
71,Male,United-States,>50K
68,Male,United-States,>50K
68,Male,United-Kingdom,>50K
65,Male,United-States,>50K
52,Male,United-States,<=50K
40,Male,United-States,<=50K
68,Male,United-States,>50K
21,Male,United-States,<=50K
35,Male,United-States,<=50K
70,Male,United-States,>50K
61,Male,United-States,<=50K
65,Male,United-States,<=50K
46,Female,United-States,<=50K
26,Male,United-States,<=50K
59,Male,United-States,<=50K
61,Male,United-States,<=50K
60,Female,United-States,<=50K
49,Male,United-States,<=50K
34,Male,United-Kingdom,<=50K
25,Female,United-States,<=50K
55,Female,United-Kingdom,<=50K
59,Female,United-States,<=50K
28,Male,United-States,<=50K
43,Female,United-States,<=50K
56,Female,United-States,<=50K
41,Male,United-States,<=50K
42,Female,Trinadad&Tobago,<=50K
28,Male,Canada,<=50K
40,Female,United-States,<=50K
69,Male,United-States,>50K
66,Male,United-States,<=50K
69,Male,United-States,<=50K
55,Female,United-States,<=50K
57,Male,United-States,<=50K
20,Male,United-States,<=50K
33,Male,United-States,<=50K
30,Male,South,<=50K
40,Female,Philippines,<=50K
38,Male,United-States,>50K
46,Male,United-States,>50K
29,Female,United-States,>50K
57,Male,United-States,<=50K
39,Male,United-States,>50K
47,Male,United-States,>50K
26,Male,United-States,>50K
27,Male,United-States,<=50K
23,Female,United-States,>50K
34,Male,United-States,<=50K
33,Male,United-States,<=50K
38,Female,United-States,<=50K
57,Female,United-States,>50K
36,Male,United-States,<=50K
44,Male,United-States,>50K
49,Female,United-States,>50K
44,Male,United-States,<=50K
55,Male,United-States,>50K
45,Male,United-States,>50K
48,Female,United-States,>50K
31,Male,United-States,>50K
55,Female,United-States,>50K
70,Male,United-States,>50K
70,Male,United-States,>50K
73,Male,United-States,>50K
72,Male,United-States,>50K
31,Female,United-States,<=50K
28,Female,United-States,<=50K
23,Male,United-States,>50K
49,Male,United-States,>50K
27,Male,United-States,>50K
90,Male,United-States,<=50K
68,Female,United-States,<=50K
65,Female,Canada,<=50K
65,Female,United-States,<=50K
67,Female,United-States,<=50K
66,Female,United-States,<=50K
24,Male,United-States,<=50K
44,Male,United-States,<=50K
35,Female,United-States,<=50K
20,Female,United-States,<=50K
38,Male,United-States,<=50K
39,Female,United-States,<=50K
32,Female,Holand-Netherlands,<=50K
42,Male,United-States,<=50K
63,Female,United-States,<=50K
42,Male,India,>50K
64,Male,United-States,<=50K
28,Male,Puerto-Rico,<=50K
41,Male,Mexico,<=50K
41,Male,United-States,<=50K
58,Male,United-States,<=50K
59,Male,United-States,<=50K
34,Female,United-States,<=50K
45,Male,United-States,<=50K
29,Female,United-States,<=50K
47,Male,United-States,<=50K
40,Male,United-States,<=50K
47,Male,Mexico,<=50K
63,Male,United-States,<=50K
41,Male,United-States,<=50K
34,Male,United-States,<=50K
66,Male,United-States,>50K
65,Male,United-States,>50K
70,Male,United-States,>50K
75,Male,United-States,>50K
65,Male,United-States,>50K
65,Male,United-States,>50K
73,Male,United-States,>50K
60,Male,South,<=50K
68,Male,United-States,<=50K
74,Male,United-States,<=50K
43,Female,United-Kingdom,<=50K
19,Male,United-States,<=50K
37,Male,United-States,<=50K
45,Male,Philippines,<=50K
64,Male,China,<=50K
30,Male,United-States,<=50K
51,Female,Canada,<=50K
35,Male,United-States,<=50K
29,Female,United-States,<=50K
34,Female,United-States,<=50K
41,Male,United-States,<=50K
35,Male,United-States,<=50K
26,Male,United-States,<=50K
54,Male,United-States,<=50K
52,Male,United-States,<=50K
50,Male,United-States,<=50K
31,Male,United-States,<=50K
38,Male,United-States,<=50K
30,Male,United-States,<=50K
34,Male,United-States,<=50K
31,Male,United-States,<=50K
52,Male,United-States,<=50K
54,Male,United-States,<=50K
38,Male,United-States,<=50K
39,Male,United-States,<=50K
29,Male,United-States,<=50K
45,Male,United-States,<=50K
34,Male,United-States,<=50K
38,Male,Poland,<=50K
39,Male,United-States,<=50K
61,Male,United-States,<=50K
43,Male,United-States,<=50K
35,Male,United-States,<=50K
46,Male,United-States,<=50K
38,Male,United-States,<=50K
42,Male,United-States,<=50K
34,Male,United-States,<=50K
29,Male,United-States,<=50K
32,Male,United-States,<=50K
60,Male,United-States,<=50K
49,Male,United-States,<=50K
53,Male,United-States,<=50K
56,Male,United-States,<=50K
48,Male,United-States,<=50K
32,Male,Iran,<=50K
42,Male,United-States,<=50K
32,Male,United-States,<=50K
28,Male,England,<=50K
26,Male,United-States,<=50K
59,Male,United-States,<=50K
47,Male,United-States,<=50K
26,Male,United-States,<=50K
41,Male,United-States,<=50K
36,Female,United-States,<=50K
45,Male,United-States,<=50K
30,Male,United-States,<=50K
36,Male,United-States,<=50K
34,Male,United-States,<=50K
53,Male,United-States,<=50K
51,Male,United-States,<=50K
47,Male,United-States,<=50K
19,Male,United-States,<=50K
30,Male,United-States,<=50K
20,Male,United-States,<=50K
42,Male,United-States,<=50K
31,Male,United-States,<=50K
33,Male,United-States,<=50K
25,Female,United-States,<=50K
20,Male,United-States,<=50K
23,Male,United-States,<=50K
